scraped_name;full_name;health_news_name;year;speciality;sub_speciality;experience;languages;city_state;patient_experience;url;journal;query
L{\'o}pez, A Buenadicha;A Buenadicha L{\'o}pez;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://europepmc.org/abstract/med/31257898;True;Revista espanola de enfermedades digestivas: organo oficial de la Sociedad Espanola de Patologia Digestiva;whipple procedure
Nu{\~n}o, J V{\'a}zquez-Garza;J V{\'a}zquez-Garza Nu{\~n}o;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://europepmc.org/abstract/med/31257898;True;Revista espanola de enfermedades digestivas: organo oficial de la Sociedad Espanola de Patologia Digestiva;whipple procedure
Rosado, Ismael Dominguez;Ismael Dominguez Rosado;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3325-6;True;Journal of Gastrointestinal Surgery;whipple procedure
Bhalla, Sanjeev;Sanjeev Bhalla;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3325-6;True;Journal of Gastrointestinal Surgery;whipple procedure
Sanchez, Luis A;Luis A Sanchez;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3325-6;True;Journal of Gastrointestinal Surgery;whipple procedure
Fields, Ryan C;Ryan C Fields;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3325-6;True;Journal of Gastrointestinal Surgery;whipple procedure
Hawkins, William G;William G Hawkins;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3325-6;True;Journal of Gastrointestinal Surgery;whipple procedure
Strasberg, Steven M;Steven M Strasberg;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3325-6;True;Journal of Gastrointestinal Surgery;whipple procedure
Goldstein, Jordan;Jordan Goldstein;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://www.postersessiononline.eu/173580348_eu/congresos/ILC2019/aula/-THU_307_ILC2019.pdf;True;Age (median);whipple procedure
Scheinberg, Andrew R;Andrew R Scheinberg;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://www.postersessiononline.eu/173580348_eu/congresos/ILC2019/aula/-THU_307_ILC2019.pdf;True;Age (median);whipple procedure
Stover, Bryan J;Bryan J Stover;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://www.postersessiononline.eu/173580348_eu/congresos/ILC2019/aula/-THU_307_ILC2019.pdf;True;Age (median);whipple procedure
To, David;David To;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://www.postersessiononline.eu/173580348_eu/congresos/ILC2019/aula/-THU_307_ILC2019.pdf;True;Age (median);whipple procedure
Corey, Kathleen E;Kathleen E Corey;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://www.postersessiononline.eu/173580348_eu/congresos/ILC2019/aula/-THU_307_ILC2019.pdf;True;Age (median);whipple procedure
Levy, Cynthia;Cynthia Levy;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://www.postersessiononline.eu/173580348_eu/congresos/ILC2019/aula/-THU_307_ILC2019.pdf;True;Age (median);whipple procedure
Pinchot, Scott N;Scott N Pinchot;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/chapter/10.1007/978-3-319-24557-7_38;True;unknown;whipple procedure
Weber, Sharon M;Sharon M Weber;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/chapter/10.1007/978-3-319-24557-7_38;True;unknown;whipple procedure
Munis, Assad;Assad Munis;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6160612/;True;ACG case reports journal;whipple procedure
Solomon, Brad;Brad Solomon;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6160612/;True;ACG case reports journal;whipple procedure
Mazulis, Andrew;Andrew Mazulis;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6160612/;True;ACG case reports journal;whipple procedure
Laurie, Timothy;Timothy Laurie;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6160612/;True;ACG case reports journal;whipple procedure
Rajab, Amer;Amer Rajab;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2018/10001/Total_Pancreatectomy_and_Islet_Autotransplantation.83.aspx;True;American Journal of Gastroenterology;whipple procedure
Buss, Jill;Jill Buss;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2018/10001/Total_Pancreatectomy_and_Islet_Autotransplantation.83.aspx;True;American Journal of Gastroenterology;whipple procedure
Lara, Luis F;Luis F Lara;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2018/10001/Total_Pancreatectomy_and_Islet_Autotransplantation.83.aspx;True;American Journal of Gastroenterology;whipple procedure
Hart, Phil;Phil Hart;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2018/10001/Total_Pancreatectomy_and_Islet_Autotransplantation.83.aspx;True;American Journal of Gastroenterology;whipple procedure
Conwell, Darwin;Darwin Conwell;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2018/10001/Total_Pancreatectomy_and_Islet_Autotransplantation.83.aspx;True;American Journal of Gastroenterology;whipple procedure
Meng, Shumei;Shumei Meng;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2018/10001/Total_Pancreatectomy_and_Islet_Autotransplantation.83.aspx;True;American Journal of Gastroenterology;whipple procedure
Black, Sylvester;Sylvester Black;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2018/10001/Total_Pancreatectomy_and_Islet_Autotransplantation.83.aspx;True;American Journal of Gastroenterology;whipple procedure
Washburn, Ken;Ken Washburn;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2018/10001/Total_Pancreatectomy_and_Islet_Autotransplantation.83.aspx;True;American Journal of Gastroenterology;whipple procedure
Zorrilla, L;L Zorrilla;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(18)30114-X/abstract;False;HPB;whipple procedure
Rosales, A;A Rosales;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(18)30114-X/abstract;False;HPB;whipple procedure
Cracco, A;A Cracco;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(18)30114-X/abstract;False;HPB;whipple procedure
Simpfendorfer, CH;CH Simpfendorfer;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(18)30114-X/abstract;False;HPB;whipple procedure
Dilek, Osman Nuri;Osman Nuri Dilek;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/b848/efe6e8f7acd296a4deedcd871e9cba7719c4.pdf;True;unknown;whipple procedure
{\"O}z{\c{s}}ay, O{\u{g}}uzhan;O{\u{g}}uzhan {\"O}z{\c{s}}ay;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/b848/efe6e8f7acd296a4deedcd871e9cba7719c4.pdf;True;unknown;whipple procedure
Acar, Turan;Turan Acar;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/b848/efe6e8f7acd296a4deedcd871e9cba7719c4.pdf;True;unknown;whipple procedure
G{\"u}r, Emine {\"O}zlem;Emine {\"O}zlem G{\"u}r;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/b848/efe6e8f7acd296a4deedcd871e9cba7719c4.pdf;True;unknown;whipple procedure
{\c{C}}elik, Salih Can;Salih Can {\c{C}}elik;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/b848/efe6e8f7acd296a4deedcd871e9cba7719c4.pdf;True;unknown;whipple procedure
Cengiz, Fevzi;Fevzi Cengiz;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/b848/efe6e8f7acd296a4deedcd871e9cba7719c4.pdf;True;unknown;whipple procedure
Cin, Nejat;Nejat Cin;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/b848/efe6e8f7acd296a4deedcd871e9cba7719c4.pdf;True;unknown;whipple procedure
Hac{\i}yanl{\i}, Mehmet;Mehmet Hac{\i}yanl{\i};unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/b848/efe6e8f7acd296a4deedcd871e9cba7719c4.pdf;True;unknown;whipple procedure
Yun, Regina;Regina Yun;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://cdn.journals.lww.com/ccmjournal/Fulltext/2018/01001/440__CONSEQUENCES_OF_POSTOPERATIVE_HYPERGLYCEMIA.406.aspx?Ppt=Article|ccmjournal:2018:01001:00406||;True;Critical Care Medicine;whipple procedure
Javed, Ammar;Ammar Javed;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://cdn.journals.lww.com/ccmjournal/Fulltext/2018/01001/440__CONSEQUENCES_OF_POSTOPERATIVE_HYPERGLYCEMIA.406.aspx?Ppt=Article|ccmjournal:2018:01001:00406||;True;Critical Care Medicine;whipple procedure
Jarrell, Andrew;Andrew Jarrell;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://cdn.journals.lww.com/ccmjournal/Fulltext/2018/01001/440__CONSEQUENCES_OF_POSTOPERATIVE_HYPERGLYCEMIA.406.aspx?Ppt=Article|ccmjournal:2018:01001:00406||;True;Critical Care Medicine;whipple procedure
Crow, Jessica;Jessica Crow;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://cdn.journals.lww.com/ccmjournal/Fulltext/2018/01001/440__CONSEQUENCES_OF_POSTOPERATIVE_HYPERGLYCEMIA.406.aspx?Ppt=Article|ccmjournal:2018:01001:00406||;True;Critical Care Medicine;whipple procedure
