scraped_name;full_name;health_news_name;year;speciality;sub_speciality;experience;languages;city_state;patient_experience;url 
W AlMistehi;Wael AlMistehi;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;http://search.proquest.com/openview/b6875c927a178e68f2f474f5773ae02d/1?pq-origsite=gscholar&cbl=1896353
A Almahfouz;Abdulraof Almahfouz;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;http://search.proquest.com/openview/b6875c927a178e68f2f474f5773ae02d/1?pq-origsite=gscholar&cbl=1896353
JW Wang;Jia Wang;Dr. Jia Wang;unknown;Internal Medicine;General Internal Medicine, Hospital Medicine/Hospitalist;21+;English;Sacramento, CA;unknown;https://content.iospress.com/articles/clinical-hemorheology-and-microcirculation/ch190688
AS Wu;An Wu;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://content.iospress.com/articles/clinical-hemorheology-and-microcirculation/ch190688
Y Yue;Yun Yue;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://content.iospress.com/articles/clinical-hemorheology-and-microcirculation/ch190688
Y Wu;Yan Wu;Dr. Yan Wu;unknown;Endocrinology;General Endocrinology, Diabetes, Lipid Metabolism, Thyroid;21+;English;Hamilton, NJ;4;https://content.iospress.com/articles/clinical-hemorheology-and-microcirculation/ch190688
G Magoga;Giulia Magoga;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.tandfonline.com/doi/abs/10.1080/14767058.2018.1488959
L Felder;Laura Felder;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.tandfonline.com/doi/abs/10.1080/14767058.2018.1488959
F Palazzo…;Francesco Palazzo;Dr. Francesco Palazzo;unknown;General Surgery;General Surgery, Bariatric Surgery, Minimally Invasive Surgery;11-20;Italian;Philadelphia, PA;5;https://www.tandfonline.com/doi/abs/10.1080/14767058.2018.1488959
B Zhang;Bin Zhang;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.gastrojournal.org/article/S0016-5085(17)35477-X/abstract
X Yang;Xiao Yang;Dr. Xiao Yang;unknown;Dermatology;General Dermatology;6-10;English;Boston, MA;unknown;https://www.gastrojournal.org/article/S0016-5085(17)35477-X/abstract
Z Qian;Zhu Qian;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.gastrojournal.org/article/S0016-5085(17)35477-X/abstract
K Lillemoe;Keith Lillemoe;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.jomi.com/article/16/whipple-procedure-for-multiple-endocrine-neoplasia-of-the-pancreas
A Loehrer;Andrew Loehrer;Dr. Andrew Loehrer;unknown;General Surgery;General Surgery;6-10;English;Houston, TX;unknown;https://www.jomi.com/article/16/whipple-procedure-for-multiple-endocrine-neoplasia-of-the-pancreas
A Nguyen;Adrienne Nguyen;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ingentaconnect.com/content/sesc/tas/2017/00000083/00000010/art00007
A Demirjian;Aram Demirjian;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ingentaconnect.com/content/sesc/tas/2017/00000083/00000010/art00007
M Yamamoto…;Maki Yamamoto;Dr. Maki Yamamoto;unknown;General Surgery;General Surgery, Surgical Oncology (Other than Breast);11-20;English;Costa Mesa, CA;unknown;https://www.ingentaconnect.com/content/sesc/tas/2017/00000083/00000010/art00007
M AbdelRazek;Mahmoud AbdelRazek;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5882004/
C Han;Crystal Han;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5882004/
A Albrecht;Amanda Albrecht;Dr. Amanda Albrecht;unknown;Resident Physician;General Resident Physician;Unknown;English;Philadelphia, PA;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5882004/
L Elsadek…;Lobna Elsadek;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5882004/
TM Bauer;Tyler M. Bauer;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.liebertpub.com/doi/abs/10.1089/pancan.2018.0015
T Dhir;Teena Dhir;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.liebertpub.com/doi/abs/10.1089/pancan.2018.0015
A Strickland;Adam Strickland;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.liebertpub.com/doi/abs/10.1089/pancan.2018.0015
H Thomsett…;Henry Thomsett;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.liebertpub.com/doi/abs/10.1089/pancan.2018.0015
GJ Han;Ga Jin Han;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://synapse.koreamed.org/DOIx.php?id=10.3348/kjr.2018.19.2.284
S Kim;Suk Kim;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://synapse.koreamed.org/DOIx.php?id=10.3348/kjr.2018.19.2.284
NK Lee;Nam Kyung Lee;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://synapse.koreamed.org/DOIx.php?id=10.3348/kjr.2018.19.2.284
CW Kim…;Chang Won Kim;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://synapse.koreamed.org/DOIx.php?id=10.3348/kjr.2018.19.2.284
EA Takahashi;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S0899707118302894
JC Andrews;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S0899707118302894
H Harima;Hirofumi Harima;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6283764/
K Hamabe;Kouichi Hamabe;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6283764/
F Hisano;Fusako Hisano;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6283764/
Y Matsuzaki…;Yuko Matsuzaki;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6283764/
HMS Reyes;Hector Mauricio Serrano Reyes;Dr. Mario E. Reyes-Serrano;unknown;Family Medicine;General Family Medicine;21+;English;Hialeah, FL;4;https://pdfs.semanticscholar.org/ea25/7c3c78ab520eccde16d353d605c60c315533.pdf
MC Alameddin;Mansuor Chaer Alameddin;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/ea25/7c3c78ab520eccde16d353d605c60c315533.pdf
C de Saboya David…;Claudio de;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/ea25/7c3c78ab520eccde16d353d605c60c315533.pdf
KA Zorbas;Konstantinos A. Zorbas;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(17)30423-9/abstract
A Karachristos;Andreas Karachristos;Dr. Andreas Karachristos;unknown;General Surgery;General Surgery, Transplantation;21+;English;Philadelphia, PA;5;https://www.hpbonline.org/article/S1365-182X(17)30423-9/abstract
A Sinha;Amitasha Sinha;Dr. Amitasha Sinha;unknown;Internal Medicine;General Internal Medicine, Geriatric Medicine, Hospital Medicine/Hospitalist;6-10;English;Waterville, ME;unknown;https://link.springer.com/article/10.1007/s11605-016-3081-7
YA Patel;Yuval A. Patel;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3081-7
M Cruise;Michael Cruise;Dr. Michael Cruise;unknown;Pathology;Gastrointestinal & Hepatobiliary Pathology, Hematopathology, Anatomic Pathology, Clinical Pathology;6-10;English;Cleveland, OH;4;https://link.springer.com/article/10.1007/s11605-016-3081-7
K Matsukuma…;Karen Matsukuma;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3081-7
Y Kawasaki;Yota Kawasaki;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://onlinelibrary.wiley.com/doi/abs/10.1111/ans.15510
K Maemura;Kosei Maemura;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://onlinelibrary.wiley.com/doi/abs/10.1111/ans.15510
H Kurahara…;Hiroshi Kurahara;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://onlinelibrary.wiley.com/doi/abs/10.1111/ans.15510
MM Magdy;Mahdy M Magdy;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;http://jcmrp.eg.net/article.asp?issn=2357-0121;year=2019;volume=4;issue=2;spage=137;epage=143;aulast=Magdy
IA Osama;Ibraheim A Osama;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;http://jcmrp.eg.net/article.asp?issn=2357-0121;year=2019;volume=4;issue=2;spage=137;epage=143;aulast=Magdy
SA Jehan…;Sayed A Jehan;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;http://jcmrp.eg.net/article.asp?issn=2357-0121;year=2019;volume=4;issue=2;spage=137;epage=143;aulast=Magdy
L Courtin-Tanguy;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pubmed/27457259
A Merdrignac;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pubmed/27457259
B Meunier;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pubmed/27457259
L Sulpice;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pubmed/27457259
E Samlowski;Erika Samlowski;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/acgcr/Fulltext/2019/11000/Catastrophic_Bleeding_From_Gastroduodenal_Artery.13.aspx
C Okwuosa;Chris Okwuosa;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/acgcr/Fulltext/2019/11000/Catastrophic_Bleeding_From_Gastroduodenal_Artery.13.aspx
N Tashjian…;Nara Tashjian;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/acgcr/Fulltext/2019/11000/Catastrophic_Bleeding_From_Gastroduodenal_Artery.13.aspx
EB Smith;Erik B. Smith;Dr. Erik B. Smith;unknown;Anesthesiology;General Anesthesiology, Pediatric Anesthesiology;3-5;English;Baltimore, MD;unknown;https://cdn.journals.lww.com/aacr/FullText/2019/10150/Pancreaticoduodenectomy__Whipple_Procedure__in_a.5.aspx
R Hardart;Richard Hardart;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://cdn.journals.lww.com/aacr/FullText/2019/10150/Pancreaticoduodenectomy__Whipple_Procedure__in_a.5.aspx
ON Dilek;Osman N Dilek;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024055/
O Ozsay;Oguzhan Ozsay;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024055/
S Karaisli;Serkan Karaisli;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024055/
EÖ Gür;Emine Ö Gür;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024055/
A Er…;Ahmet Er;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024055/
ON Dilek;Osman Nuri Dilek;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796072/
O Özşay;Oğuzhan Özşay;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796072/
T Acar;Turan Acar;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796072/
EÖ Gür…;Emine Özlem Gür;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796072/
MU Amin;M Umar Amin;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;http://www.pakjr.com/ojs/index.php/PJR/article/view/165
R Nazir;Rashed Nazir;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;http://www.pakjr.com/ojs/index.php/PJR/article/view/165
PM Spanheimer;Philip M. Spanheimer;Dr. Philip M. Spanheimer;unknown;Emergency Medicine;General Emergency Medicine;6-10;English;Iowa City, IA;unknown;https://link.springer.com/chapter/10.1007/978-3-319-44797-1_113
Y Zong;Yan Zong;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;http://wprim.whocc.org.cn/admin/article/articleDetail?WPRIMID=512468&articleId=512468
Z Zhao;Zhanqiang Zhao;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;http://wprim.whocc.org.cn/admin/article/articleDetail?WPRIMID=512468&articleId=512468
H Tan;Hongtao Tan;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;http://wprim.whocc.org.cn/admin/article/articleDetail?WPRIMID=512468&articleId=512468
J Liu…;Jie Liu;Dr. Jie Liu;unknown;Neurology;General Neurology;Unknown;English;Columbus, OH;unknown;http://wprim.whocc.org.cn/admin/article/articleDetail?WPRIMID=512468&articleId=512468
X Sofia;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Sofia_Xenaki/publication/320583672_REVIEW_ARTICLE_Omental_Roll_up_Technique_in_Pancreaticojejunostomy_In_Whipple_Traverso_Procedure_Decreases_the_Formation_of_Pancreatic_Fistula-A_Prospective_Consecutive_Case_Series/links/59eed84d0f7e9b369575bd67/REVIEW-ARTICLE-Omental-Roll-up-Technique-in-Pancreaticojejunostomy-In-Whipple-Traverso-Procedure-Decreases-the-Formation-of-Pancreatic-Fistula-A-Prospective-Consecutive-Case-Series.pdf
A Alexandros;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Sofia_Xenaki/publication/320583672_REVIEW_ARTICLE_Omental_Roll_up_Technique_in_Pancreaticojejunostomy_In_Whipple_Traverso_Procedure_Decreases_the_Formation_of_Pancreatic_Fistula-A_Prospective_Consecutive_Case_Series/links/59eed84d0f7e9b369575bd67/REVIEW-ARTICLE-Omental-Roll-up-Technique-in-Pancreaticojejunostomy-In-Whipple-Traverso-Procedure-Decreases-the-Formation-of-Pancreatic-Fistula-A-Prospective-Consecutive-Case-Series.pdf
A Elias;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Sofia_Xenaki/publication/320583672_REVIEW_ARTICLE_Omental_Roll_up_Technique_in_Pancreaticojejunostomy_In_Whipple_Traverso_Procedure_Decreases_the_Formation_of_Pancreatic_Fistula-A_Prospective_Consecutive_Case_Series/links/59eed84d0f7e9b369575bd67/REVIEW-ARTICLE-Omental-Roll-up-Technique-in-Pancreaticojejunostomy-In-Whipple-Traverso-Procedure-Decreases-the-Formation-of-Pancreatic-Fistula-A-Prospective-Consecutive-Case-Series.pdf
D Anna…;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Sofia_Xenaki/publication/320583672_REVIEW_ARTICLE_Omental_Roll_up_Technique_in_Pancreaticojejunostomy_In_Whipple_Traverso_Procedure_Decreases_the_Formation_of_Pancreatic_Fistula-A_Prospective_Consecutive_Case_Series/links/59eed84d0f7e9b369575bd67/REVIEW-ARTICLE-Omental-Roll-up-Technique-in-Pancreaticojejunostomy-In-Whipple-Traverso-Procedure-Decreases-the-Formation-of-Pancreatic-Fistula-A-Prospective-Consecutive-Case-Series.pdf
H Peluso;Heather Peluso;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2017/10001/The_Incidence,_Risk_Factors_and_Impact_of_30_Day.46.aspx
M Abougergi;Marwan Abougergi;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2017/10001/The_Incidence,_Risk_Factors_and_Impact_of_30_Day.46.aspx
C Mrad…;Chebli Mrad;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2017/10001/The_Incidence,_Risk_Factors_and_Impact_of_30_Day.46.aspx
TC Anandaswamy;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S0952818016309710
GC Rajappa…;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S0952818016309710
M Ko;Moses Ko;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;http://search.proquest.com/openview/220d022f2d25dfe957fd5a2559a394fc/1?pq-origsite=gscholar&cbl=1896353
T Quek;Timothy Quek;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;http://search.proquest.com/openview/220d022f2d25dfe957fd5a2559a394fc/1?pq-origsite=gscholar&cbl=1896353
R Udhayachandhar;R Udhayachandhar;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;http://www.ijaweb.org/article.asp?issn=0019-5049;year=2020;volume=64;issue=3;spage=216;epage=221;aulast=Udhayachandhar
